"Woonplaatsen";"Woonplaatscode (Code)";"Gemeentenaam";"Gemeente/Code  (Code)"
"Aadorp";"WP1925    ";"Almelo                             ";"GM0141    "
"Aagtekerke";"WP2774    ";"Veere                              ";"GM0717    "
"Aalden";"WP2145    ";"Coevorden                          ";"GM0109    "
"Aalsmeer";"WP2571    ";"Aalsmeer                           ";"GM0358    "
"Aalsmeerderbrug";"WP1600    ";"Haarlemmermeer                     ";"GM0394    "
"Aalst";"WP2626    ";"Zaltbommel                         ";"GM0297    "
"Aalsum";"WP3387    ";"Dongeradeel                        ";"GM0058    "
"Aalten";"WP1193    ";"Aalten                             ";"GM0197    "
"Ter Aar";"WP2673    ";"Nieuwkoop                          ";"GM0569    "
"Ter Aard";"WP2394    ";"Assen                              ";"GM0106    "
"Aardenburg";"WP2961    ";"Sluis                              ";"GM1714    "
"Aarlanderveen";"WP1079    ";"Alphen aan den Rijn                ";"GM0484    "
"Aarle-Rixtel";"WP1445    ";"Laarbeek                           ";"GM1659    "
"Aartswoud";"WP2788    ";"Opmeer                             ";"GM0432    "
"Abbega";"WP2400    ";"Súdwest-Fryslân                    ";"GM1900    "
"Abbekerk";"WP3147    ";"Medemblik                          ";"GM0420    "
"Abbenbroek";"WP1385    ";"Nissewaard                         ";"GM1930    "
"Abbenes";"WP1608    ";"Haarlemmermeer                     ";"GM0394    "
"Abcoude";"WP1332    ";"De Ronde Venen                     ";"GM0736    "
"Achlum";"WP1364    ";"Waadhoeke                          ";"GM1949    "
"Achterveld";"WP1063    ";"Barneveld                          ";"GM0203    "
"Achterveld";"WP2640    ";"Leusden                            ";"GM0327    "
"Achthuizen";"WP2131    ";"Goeree-Overflakkee                 ";"GM1924    "
"Achtmaal";"WP3493    ";"Zundert                            ";"GM0879    "
"Acquoy";"WP3527    ";"Geldermalsen                       ";"GM0236    "
"Adorp";"WP2464    ";"Winsum                             ";"GM0053    "
"Aduard";"WP2114    ";"Zuidhorn                           ";"GM0056    "
"Aerdenhout";"WP2652    ";"Bloemendaal                        ";"GM0377    "
"Aerdt";"WP2976    ";"Zevenaar                           ";"GM0299    "
"Afferden";"WP2902    ";"Druten                             ";"GM0225    "
"Afferden L";"WP1122    ";"Bergen (L.)                        ";"GM0893    "
"Agelo";"WP1407    ";"Dinkelland                         ";"GM1774    "
"Akersloot";"WP2267    ";"Castricum                          ";"GM0383    "
"Akkrum";"WP2525    ";"Heerenveen                         ";"GM0074    "
"Akmarijp";"WP2484    ";"De Fryske Marren                   ";"GM1940    "
"Albergen";"WP1283    ";"Tubbergen                          ";"GM0183    "
"Alblasserdam";"WP2386    ";"Alblasserdam                       ";"GM0482    "
"Alde Leie";"WP3224    ";"Leeuwarden                         ";"GM0080    "
"Aldeboarn";"WP2532    ";"Heerenveen                         ";"GM0074    "
"Aldtsjerk";"WP2441    ";"Tytsjerksteradiel                  ";"GM0737    "
"Alem";"WP1623    ";"Maasdriel                          ";"GM0263    "
"Alkmaar";"WP2348    ";"Alkmaar                            ";"GM0361    "
"Allingawier";"WP2301    ";"Súdwest-Fryslân                    ";"GM1900    "
"Almelo";"WP1924    ";"Almelo                             ";"GM0141    "
"Almen";"WP1334    ";"Lochem                             ";"GM0262    "
"Almere";"WP1270    ";"Almere                             ";"GM0034    "
"Almkerk";"WP3300    ";"Woudrichem                         ";"GM0874    "
"Alphen";"WP1766    ";"West Maas en Waal                  ";"GM0668    "
"Alphen";"WP3432    ";"Alphen-Chaam                       ";"GM1723    "
"Alphen aan den Rijn";"WP1080    ";"Alphen aan den Rijn                ";"GM0484    "
"Alteveer";"WP1633    ";"Noordenveld                        ";"GM1699    "
"Alteveer";"WP3079    ";"Stadskanaal                        ";"GM0037    "
"Alteveer";"WP3160    ";"De Wolden                          ";"GM1690    "
"Alteveer gem Hoogeveen";"WP1810    ";"Hoogeveen                          ";"GM0118    "
"Altforst";"WP1767    ";"West Maas en Waal                  ";"GM0668    "
"Ambt Delden";"WP1438    ";"Hof van Twente                     ";"GM1735    "
"Ameide";"WP2106    ";"Zederik                            ";"GM0707    "
"Amen";"WP1147    ";"Aa en Hunze                        ";"GM1680    "
"America";"WP1026    ";"Horst aan de Maas                  ";"GM1507    "
"Amerongen";"WP3337    ";"Utrechtse Heuvelrug                ";"GM1581    "
"Amersfoort";"WP1664    ";"Amersfoort                         ";"GM0307    "
"Ammerstol";"WP2367    ";"Krimpenerwaard                     ";"GM1931    "
"Ammerzoden";"WP1624    ";"Maasdriel                          ";"GM0263    "
"Amstelhoek";"WP3547    ";"De Ronde Venen                     ";"GM0736    "
"Amstelveen";"WP1050    ";"Amstelveen                         ";"GM0362    "
"Amstenrade";"WP2099    ";"Schinnen                           ";"GM0962    "
"Amsterdam";"WP3594    ";"Amsterdam                          ";"GM0363    "
"Amsterdam-Duivendrecht";"WP3569    ";"Ouder-Amstel                       ";"GM0437    "
"Andel";"WP3301    ";"Woudrichem                         ";"GM0874    "
"Den Andel";"WP2466    ";"Winsum                             ";"GM0053    "
"Andelst";"WP1862    ";"Overbetuwe                         ";"GM1734    "
"Anderen";"WP1148    ";"Aa en Hunze                        ";"GM1680    "
"Andijk";"WP1053    ";"Medemblik                          ";"GM0420    "
"Ane";"WP1537    ";"Hardenberg                         ";"GM0160    "
"Anerveen";"WP1538    ";"Hardenberg                         ";"GM0160    "
"Anevelde";"WP1539    ";"Hardenberg                         ";"GM0160    "
"Angeren";"WP3133    ";"Lingewaard                         ";"GM1705    "
"Angerlo";"WP1299    ";"Zevenaar                           ";"GM0299    "
"Anjum";"WP3388    ";"Dongeradeel                        ";"GM0058    "
"Ankeveen";"WP2999    ";"Wijdemeren                         ";"GM1696    "
"Anloo";"WP1149    ";"Aa en Hunze                        ";"GM1680    "
"Anna Paulowna";"WP3185    ";"Hollands Kroon                     ";"GM1911    "
"Annen";"WP1150    ";"Aa en Hunze                        ";"GM1680    "
"Annerveenschekanaal";"WP1151    ";"Aa en Hunze                        ";"GM1680    "
"Ansen";"WP3104    ";"Westerveld                         ";"GM1701    "
"Ansen";"WP3161    ";"De Wolden                          ";"GM1690    "
"Ter Apel";"WP2296    ";"Westerwolde                        ";"GM1950    "
"Apeldoorn";"WP3560    ";"Apeldoorn                          ";"GM0200    "
"Ter Apelkanaal";"WP2297    ";"Westerwolde                        ";"GM1950    "
"Appelscha";"WP1753    ";"Ooststellingwerf                   ";"GM0085    "
"Appeltern";"WP1768    ";"West Maas en Waal                  ";"GM0668    "
"Appingedam";"WP3386    ";"Appingedam                         ";"GM0003    "
"Arcen";"WP3140    ";"Venlo                              ";"GM0983    "
"Arkel";"WP1432    ";"Giessenlanden                      ";"GM0689    "
"Arnemuiden";"WP1008    ";"Middelburg                         ";"GM0687    "
"Arnhem";"WP1296    ";"Arnhem                             ";"GM0202    "
"Arriën";"WP3630    ";"Ommen                              ";"GM0175    "
"Arum";"WP2302    ";"Súdwest-Fryslân                    ";"GM1900    "
"Asch";"WP3370    ";"Buren                              ";"GM0214    "
"Asperen";"WP2353    ";"Lingewaal                          ";"GM0733    "
"Assen";"WP2391    ";"Assen                              ";"GM0106    "
"Assendelft";"WP1878    ";"Zaanstad                           ";"GM0479    "
"Asten";"WP2928    ";"Asten                              ";"GM0743    "
"Augsbuurt";"WP3307    ";"Kollumerland en Nieuwkruisland     ";"GM0079    "
"Augustinusga";"WP3173    ";"Achtkarspelen                      ";"GM0059    "
"Austerlitz";"WP2824    ";"Zeist                              ";"GM0355    "
"Avenhorn";"WP1183    ";"Koggenland                         ";"GM1598    "
"Axel";"WP1128    ";"Terneuzen                          ";"GM0715    "
"Azewijn";"WP2202    ";"Montferland                        ";"GM1955    "
"Baaiduinen";"WP2621    ";"Terschelling                       ";"GM0093    "
"Baaium";"WP2008    ";"Waadhoeke                          ";"GM1949    "
"Baak";"WP1527    ";"Bronckhorst                        ";"GM1876    "
"Baambrugge";"WP1333    ";"De Ronde Venen                     ";"GM0736    "
"Baard";"WP2009    ";"Leeuwarden                         ";"GM0080    "
"Baarland";"WP1251    ";"Borsele                            ";"GM0654    "
"Baarle-Nassau";"WP2883    ";"Baarle-Nassau                      ";"GM0744    "
"Baarlo";"WP2602    ";"Peel en Maas                       ";"GM1894    "
"Baarlo";"WP2691    ";"Steenwijkerland                    ";"GM1708    "
"Baarn";"WP1092    ";"Baarn                              ";"GM0308    "
"Baars";"WP2692    ";"Steenwijkerland                    ";"GM1708    "
"Babberich";"WP1298    ";"Zevenaar                           ";"GM0299    "
"Babyloniënbroek";"WP1951    ";"Aalburg                            ";"GM0738    "
"Bad Nieuweschans";"WP1420    ";"Oldambt                            ";"GM1895    "
"Badhoevedorp";"WP1617    ";"Haarlemmermeer                     ";"GM0394    "
"Baexem";"WP2940    ";"Leudal                             ";"GM1640    "
"Baflo";"WP2465    ";"Winsum                             ";"GM0053    "
"Bakel";"WP2090    ";"Gemert-Bakel                       ";"GM1652    "
"Bakhuizen";"WP1673    ";"De Fryske Marren                   ";"GM1940    "
"Bakkeveen";"WP3342    ";"Opsterland                         ";"GM0086    "
"Balgoij";"WP2570    ";"Wijchen                            ";"GM0296    "
"Balinge";"WP3005    ";"Midden-Drenthe                     ";"GM1731    "
"Balk";"WP1674    ";"De Fryske Marren                   ";"GM1940    "
"Balkbrug";"WP1540    ";"Hardenberg                         ";"GM0160    "
"Balloërveld";"WP1153    ";"Aa en Hunze                        ";"GM1680    "
"Balloo";"WP1152    ";"Aa en Hunze                        ";"GM1680    "
"Ballum";"WP2587    ";"Ameland                            ";"GM0060    "
"Baneheide";"WP3067    ";"Simpelveld                         ";"GM0965    "
"Banholt";"WP1690    ";"Eijsden-Margraten                  ";"GM1903    "
"Bant";"WP1272    ";"Noordoostpolder                    ";"GM0171    "
"Bantega";"WP2239    ";"De Fryske Marren                   ";"GM1940    "
"Barchem";"WP1335    ";"Lochem                             ";"GM0262    "
"Barendrecht";"WP1594    ";"Barendrecht                        ";"GM0489    "
"Barger-Compascuum";"WP1987    ";"Emmen                              ";"GM0114    "
"Barneveld";"WP3597    ";"Barneveld                          ";"GM0203    "
"Barsingerhorn";"WP2514    ";"Hollands Kroon                     ";"GM1911    "
"Basse";"WP2693    ";"Steenwijkerland                    ";"GM1708    "
"Batenburg";"WP2568    ";"Wijchen                            ";"GM0296    "
"Bathmen";"WP2854    ";"Deventer                           ";"GM0150    "
"Bavel";"WP3624    ";"Breda                              ";"GM0758    "
"Bavel AC";"WP3437    ";"Alphen-Chaam                       ";"GM1723    "
"Bears";"WP2010    ";"Leeuwarden                         ";"GM0080    "
"Bedum";"WP2829    ";"Bedum                              ";"GM0005    "
"Beegden";"WP1918    ";"Maasgouw                           ";"GM1641    "
"Beek";"WP1670    ";"Beek                               ";"GM0888    "
"Beek";"WP2203    ";"Montferland                        ";"GM1955    "
"Beek";"WP2872    ";"Berg en Dal                        ";"GM1945    "
"Beek en Donk";"WP1446    ";"Laarbeek                           ";"GM1659    "
"Beekbergen";"WP2258    ";"Apeldoorn                          ";"GM0200    "
"Beemte Broekland";"WP2254    ";"Apeldoorn                          ";"GM0200    "
"Beers NB";"WP1449    ";"Cuijk                              ";"GM1684    "
"Beerta";"WP3508    ";"Oldambt                            ";"GM1895    "
"Beerze";"WP2548    ";"Ommen                              ";"GM0175    "
"Beerzerveld";"WP2549    ";"Ommen                              ";"GM0175    "
"Beesd";"WP3213    ";"Geldermalsen                       ";"GM0236    "
"Beesel";"WP1950    ";"Beesel                             ";"GM0889    "
"Beets";"WP1837    ";"Edam-Volendam                      ";"GM0385    "
"Beetsterzwaag";"WP3343    ";"Opsterland                         ";"GM0086    "
"Beilen";"WP3006    ";"Midden-Drenthe                     ";"GM1731    "
"Beinsdorp";"WP1610    ";"Haarlemmermeer                     ";"GM0394    "
"Belfeld";"WP1476    ";"Venlo                              ";"GM0983    "
"Bellingwolde";"WP2231    ";"Westerwolde                        ";"GM1950    "
"Beltrum";"WP1661    ";"Berkelland                         ";"GM1859    "
"Belt-Schutsloot";"WP2694    ";"Steenwijkerland                    ";"GM1708    "
"Bemelen";"WP1691    ";"Eijsden-Margraten                  ";"GM1903    "
"Bemmel";"WP3131    ";"Lingewaard                         ";"GM1705    "
"Beneden-Leeuwen";"WP1769    ";"West Maas en Waal                  ";"GM0668    "
"Bennebroek";"WP3533    ";"Bloemendaal                        ";"GM0377    "
"Bennekom";"WP2766    ";"Ede                                ";"GM0228    "
"Benneveld";"WP2146    ";"Coevorden                          ";"GM0109    "
"Benningbroek";"WP3148    ";"Medemblik                          ";"GM0420    "
"Benschop";"WP1958    ";"Lopik                              ";"GM0331    "
"Bentelo";"WP1439    ";"Hof van Twente                     ";"GM1735    "
"Benthuizen";"WP2853    ";"Alphen aan den Rijn                ";"GM0484    "
"Bentveld";"WP1306    ";"Zandvoort                          ";"GM0473    "
"Berg en Dal";"WP3618    ";"Berg en Dal                        ";"GM1945    "
"Berg en Terblijt";"WP1716    ";"Valkenburg aan de Geul             ";"GM0994    "
"Bergambacht";"WP2365    ";"Krimpenerwaard                     ";"GM1931    "
"Bergeijk";"WP1457    ";"Bergeijk                           ";"GM1724    "
"Bergen (NH)";"WP3047    ";"Bergen (NH.)                       ";"GM0373    "
"Bergen aan Zee";"WP3046    ";"Bergen (NH.)                       ";"GM0373    "
"Bergen L";"WP1121    ";"Bergen (L.)                        ";"GM0893    "
"Bergen op Zoom";"WP1937    ";"Bergen op Zoom                     ";"GM0748    "
"Bergentheim";"WP1541    ";"Hardenberg                         ";"GM0160    "
"Bergharen";"WP2565    ";"Wijchen                            ";"GM0296    "
"Berghem";"WP3250    ";"Oss                                ";"GM0828    "
"Bergschenhoek";"WP1688    ";"Lansingerland                      ";"GM1621    "
"Beringe";"WP3438    ";"Peel en Maas                       ";"GM1894    "
"Berkel en Rodenrijs";"WP1687    ";"Lansingerland                      ";"GM1621    "
"Berkel-Enschot";"WP1044    ";"Tilburg                            ";"GM0855    "
"Berkenwoude";"WP2366    ";"Krimpenerwaard                     ";"GM1931    "
"Berkhout";"WP1184    ";"Koggenland                         ";"GM1598    "
"Berlicum";"WP2057    ";"Sint-Michielsgestel                ";"GM0845    "
"Berltsum";"WP2724    ";"Waadhoeke                          ";"GM1949    "
"Bern";"WP2627    ";"Zaltbommel                         ";"GM0297    "
"Best";"WP1456    ";"Best                               ";"GM0753    "
"Beugen";"WP1214    ";"Boxmeer                            ";"GM0756    "
"Beuningen";"WP1711    ";"Losser                             ";"GM0168    "
"Beuningen Gld";"WP2751    ";"Beuningen                          ";"GM0209    "
"Beusichem";"WP3371    ";"Buren                              ";"GM0214    "
"Beutenaken";"WP1230    ";"Gulpen-Wittem                      ";"GM1729    "
"Beverwijk";"WP2735    ";"Beverwijk                          ";"GM0375    "
