,postcode,gemiddelde_woz_waarde_woning,gemeente,geometry
0,1011,386,Amsterdam,
309,1012,343,Amsterdam,
697,1013,329,Amsterdam,
1081,1014,395,Amsterdam,
1127,1015,400,Amsterdam,
1486,1016,450,Amsterdam,
1809,1017,526,Amsterdam,
2183,1018,352,Amsterdam,
2571,1019,375,Amsterdam,
2893,1021,198,Amsterdam,
3088,1022,255,Amsterdam,
3156,1023,235,Amsterdam,
3318,1024,192,Amsterdam,
3591,1025,201,Amsterdam,
3973,1026,551,Amsterdam,
3991,1027,461,Amsterdam,
4018,1028,513,Amsterdam,
4037,1031,239,Amsterdam,
4214,1032,192,Amsterdam,
4407,1033,172,Amsterdam,
4793,1034,194,Amsterdam,
5124,1035,240,Amsterdam,
5375,1036,333,Amsterdam,
5395,1047,305,Amsterdam,
5420,1051,282,Amsterdam,
5700,1052,295,Amsterdam,
5991,1053,291,Amsterdam,
6353,1054,410,Amsterdam,
6717,1055,218,Amsterdam,
7099,1056,253,Amsterdam,
7436,1057,252,Amsterdam,
7776,1058,312,Amsterdam,
8061,1059,269,Amsterdam,
8222,1060,310,Amsterdam,
8374,1061,230,Amsterdam,
8584,1062,196,Amsterdam,
8763,1063,162,Amsterdam,
9075,1064,175,Amsterdam,
9430,1065,185,Amsterdam,
9691,1066,277,Amsterdam,
10021,1067,202,Amsterdam,
10124,1067,202,Haarlemmerliede en Spaarnwoude,
10389,1068,181,Amsterdam,
10732,1069,202,Amsterdam,
11049,1071,764,Amsterdam,
11441,1072,311,Amsterdam,
11739,1073,313,Amsterdam,
12020,1074,323,Amsterdam,
12206,1075,546,Amsterdam,
12489,1076,354,Amsterdam,
12770,1077,831,Amsterdam,
13164,1078,392,Amsterdam,
13507,1079,319,Amsterdam,
13878,1081,348,Amsterdam,
14035,1082,298,Amsterdam,
14350,1083,228,Amsterdam,
14537,1086,365,Amsterdam,
14576,1087,363,Amsterdam,
14752,1091,303,Amsterdam,
15090,1092,311,Amsterdam,
15307,1093,290,Amsterdam,
15541,1094,255,Amsterdam,
15826,1095,231,Amsterdam,
16074,1096,186,Amsterdam,
16115,1096,186,Ouder-Amstel,
16136,1097,262,Amsterdam,
