,gemeente,postcode,gemiddelde_woz_waarde_woning,gemiddelde_woz_waarde_gemeente,klasse_woz
0,Amsterdam,1011,386,298.3333333333333,Hoog
1,Amsterdam,1012,343,298.3333333333333,Hoog
2,Amsterdam,1013,329,298.3333333333333,Hoog
3,Amsterdam,1014,395,298.3333333333333,Hoog
4,Amsterdam,1015,400,298.3333333333333,Hoog
5,Amsterdam,1016,450,298.3333333333333,Hoog
6,Amsterdam,1017,526,298.3333333333333,Hoog
7,Amsterdam,1018,352,298.3333333333333,Hoog
8,Amsterdam,1019,375,298.3333333333333,Hoog
9,Amsterdam,1021,198,298.3333333333333,Hoog
10,Amsterdam,1022,255,298.3333333333333,Hoog
11,Amsterdam,1023,235,298.3333333333333,Hoog
12,Amsterdam,1024,192,298.3333333333333,Hoog
13,Amsterdam,1025,201,298.3333333333333,Hoog
14,Amsterdam,1026,551,298.3333333333333,Hoog
15,Amsterdam,1027,461,298.3333333333333,Hoog
16,Amsterdam,1028,513,298.3333333333333,Hoog
17,Amsterdam,1031,239,298.3333333333333,Hoog
18,Amsterdam,1032,192,298.3333333333333,Hoog
19,Amsterdam,1033,172,298.3333333333333,Hoog
20,Amsterdam,1034,194,298.3333333333333,Hoog
21,Amsterdam,1035,240,298.3333333333333,Hoog
22,Amsterdam,1036,333,298.3333333333333,Hoog
23,Amsterdam,1047,305,298.3333333333333,Hoog
24,Amsterdam,1051,282,298.3333333333333,Hoog
25,Amsterdam,1052,295,298.3333333333333,Hoog
26,Amsterdam,1053,291,298.3333333333333,Hoog
27,Amsterdam,1054,410,298.3333333333333,Hoog
28,Amsterdam,1055,218,298.3333333333333,Hoog
29,Amsterdam,1056,253,298.3333333333333,Hoog
30,Amsterdam,1057,252,298.3333333333333,Hoog
31,Amsterdam,1058,312,298.3333333333333,Hoog
32,Amsterdam,1059,269,298.3333333333333,Hoog
33,Amsterdam,1060,310,298.3333333333333,Hoog
34,Amsterdam,1061,230,298.3333333333333,Hoog
35,Amsterdam,1062,196,298.3333333333333,Hoog
36,Amsterdam,1063,162,298.3333333333333,Hoog
37,Amsterdam,1064,175,298.3333333333333,Hoog
38,Amsterdam,1065,185,298.3333333333333,Hoog
39,Amsterdam,1066,277,298.3333333333333,Hoog
40,Amsterdam,1067,202,298.3333333333333,Hoog
41,Amsterdam,1068,181,298.3333333333333,Hoog
42,Amsterdam,1069,202,298.3333333333333,Hoog
43,Amsterdam,1071,764,298.3333333333333,Hoog
44,Amsterdam,1072,311,298.3333333333333,Hoog
45,Amsterdam,1073,313,298.3333333333333,Hoog
46,Amsterdam,1074,323,298.3333333333333,Hoog
47,Amsterdam,1075,546,298.3333333333333,Hoog
48,Amsterdam,1076,354,298.3333333333333,Hoog
49,Amsterdam,1077,831,298.3333333333333,Hoog
50,Amsterdam,1078,392,298.3333333333333,Hoog
51,Amsterdam,1079,319,298.3333333333333,Hoog
52,Amsterdam,1081,348,298.3333333333333,Hoog
53,Amsterdam,1082,298,298.3333333333333,Hoog
54,Amsterdam,1083,228,298.3333333333333,Hoog
55,Amsterdam,1086,365,298.3333333333333,Hoog
56,Amsterdam,1087,363,298.3333333333333,Hoog
57,Amsterdam,1091,303,298.3333333333333,Hoog
58,Amsterdam,1092,311,298.3333333333333,Hoog
59,Amsterdam,1093,290,298.3333333333333,Hoog
60,Amsterdam,1094,255,298.3333333333333,Hoog
61,Amsterdam,1095,231,298.3333333333333,Hoog
62,Amsterdam,1096,186,298.3333333333333,Hoog
63,Amsterdam,1097,262,298.3333333333333,Hoog
64,Amsterdam,1098,356,298.3333333333333,Hoog
65,Amsterdam,1102,128,298.3333333333333,Hoog
66,Amsterdam,1103,168,298.3333333333333,Hoog
67,Amsterdam,1104,145,298.3333333333333,Hoog
68,Amsterdam,1105,75,298.3333333333333,Hoog
69,Amsterdam,1106,159,298.3333333333333,Hoog
70,Amsterdam,1107,166,298.3333333333333,Hoog
71,Amsterdam,1108,140,298.3333333333333,Hoog
72,Amsterdam,1109,251,298.3333333333333,Hoog
73,Amsterdam,1181,380,298.3333333333333,Hoog
74,Amsterdam,1183,275,298.3333333333333,Hoog
