,Provincie,Regio's,Perioden,Bedrijfstak_code,Bedrijfstak,Vestigingen (aantal),Aantal_vestigingen_genormaliseerd,Vestigingen Klasse
0,Drenthe,Aa en Hunze,2015,A,"Landbouw, bosbouw en visserij",280.0,0.0077156241388812346,Hoog
1,Drenthe,Aa en Hunze,2015,B,Delfstoffenwinning,0.0,0.0,Geen
2,Drenthe,Aa en Hunze,2015,C,Industrie,80.0,0.002204464039680353,Middel-Hoog
3,Drenthe,Aa en Hunze,2015,D,Energievoorziening,0.0,0.0,Geen
4,Drenthe,Aa en Hunze,2015,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
5,Drenthe,Aa en Hunze,2015,F,Bouwnijverheid,200.0,0.005511160099200882,Hoog
6,Drenthe,Aa en Hunze,2015,G,Handel,335.0,0.009231193166161477,Hoog
7,Drenthe,Aa en Hunze,2015,H,Vervoer en opslag,50.0,0.0013777900248002205,Middel
8,Drenthe,Aa en Hunze,2015,I,Horeca,125.0,0.003444475062000551,Middel-Hoog
9,Drenthe,Aa en Hunze,2015,J,Informatie en communicatie,90.0,0.002480022044640397,Middel-Hoog
10,Drenthe,Aa en Hunze,2015,K,Financiële dienstverlening,135.0,0.0037200330669605952,Middel-Hoog
11,Drenthe,Aa en Hunze,2015,L,Verhuur en handel van onroerend goed,35.0,0.0009644530173601543,Middel
12,Drenthe,Aa en Hunze,2015,M,Specialistische zakelijke diensten,380.0,0.010471204188481676,Hoog
13,Drenthe,Aa en Hunze,2015,N,Verhuur en overige zakelijke diensten,95.0,0.002617801047120419,Middel-Hoog
14,Drenthe,Aa en Hunze,2015,R,"Cultuur, sport en recreatie",120.0,0.003306696059520529,Middel-Hoog
15,Drenthe,Aa en Hunze,2015,S,Overige dienstverlening,160.0,0.004408928079360706,Middel-Hoog
16,Drenthe,Aa en Hunze,2015,U,Extraterritoriale organisaties,0.0,0.0,Geen
17,Drenthe,Aa en Hunze,2016,A,"Landbouw, bosbouw en visserij",290.0,0.007991182143841279,Hoog
18,Drenthe,Aa en Hunze,2016,B,Delfstoffenwinning,0.0,0.0,Geen
19,Drenthe,Aa en Hunze,2016,C,Industrie,80.0,0.002204464039680353,Middel-Hoog
20,Drenthe,Aa en Hunze,2016,D,Energievoorziening,0.0,0.0,Geen
21,Drenthe,Aa en Hunze,2016,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
22,Drenthe,Aa en Hunze,2016,F,Bouwnijverheid,205.0,0.005648939101680904,Hoog
23,Drenthe,Aa en Hunze,2016,G,Handel,335.0,0.009231193166161477,Hoog
24,Drenthe,Aa en Hunze,2016,H,Vervoer en opslag,45.0,0.0012400110223201985,Middel
25,Drenthe,Aa en Hunze,2016,I,Horeca,125.0,0.003444475062000551,Middel-Hoog
26,Drenthe,Aa en Hunze,2016,J,Informatie en communicatie,85.0,0.002342243042160375,Middel-Hoog
27,Drenthe,Aa en Hunze,2016,K,Financiële dienstverlening,140.0,0.0038578120694406173,Middel-Hoog
28,Drenthe,Aa en Hunze,2016,L,Verhuur en handel van onroerend goed,30.0,0.0008266740148801323,Middel
29,Drenthe,Aa en Hunze,2016,M,Specialistische zakelijke diensten,405.0,0.011160099200881787,Hoog
30,Drenthe,Aa en Hunze,2016,N,Verhuur en overige zakelijke diensten,95.0,0.002617801047120419,Middel-Hoog
31,Drenthe,Aa en Hunze,2016,R,"Cultuur, sport en recreatie",130.0,0.0035822540644805732,Middel-Hoog
32,Drenthe,Aa en Hunze,2016,S,Overige dienstverlening,180.0,0.004960044089280794,Middel-Hoog
33,Drenthe,Aa en Hunze,2016,U,Extraterritoriale organisaties,0.0,0.0,Geen
34,Drenthe,Aa en Hunze,2017,A,"Landbouw, bosbouw en visserij",285.0,0.007853403141361256,Hoog
35,Drenthe,Aa en Hunze,2017,B,Delfstoffenwinning,0.0,0.0,Geen
36,Drenthe,Aa en Hunze,2017,C,Industrie,80.0,0.002204464039680353,Middel-Hoog
37,Drenthe,Aa en Hunze,2017,D,Energievoorziening,0.0,0.0,Geen
38,Drenthe,Aa en Hunze,2017,E,Waterbedrijven en afvalbeheer,5.0,0.00013777900248002206,Middel
39,Drenthe,Aa en Hunze,2017,F,Bouwnijverheid,205.0,0.005648939101680904,Hoog
40,Drenthe,Aa en Hunze,2017,G,Handel,330.0,0.009093414163681455,Hoog
41,Drenthe,Aa en Hunze,2017,H,Vervoer en opslag,40.0,0.0011022320198401765,Middel
42,Drenthe,Aa en Hunze,2017,I,Horeca,130.0,0.0035822540644805732,Middel-Hoog
43,Drenthe,Aa en Hunze,2017,J,Informatie en communicatie,90.0,0.002480022044640397,Middel-Hoog
44,Drenthe,Aa en Hunze,2017,K,Financiële dienstverlening,150.0,0.004133370074400662,Middel-Hoog
45,Drenthe,Aa en Hunze,2017,L,Verhuur en handel van onroerend goed,30.0,0.0008266740148801323,Middel
46,Drenthe,Aa en Hunze,2017,M,Specialistische zakelijke diensten,410.0,0.011297878203361807,Hoog
47,Drenthe,Aa en Hunze,2017,N,Verhuur en overige zakelijke diensten,100.0,0.002755580049600441,Middel-Hoog
48,Drenthe,Aa en Hunze,2017,R,"Cultuur, sport en recreatie",130.0,0.0035822540644805732,Middel-Hoog
