,Soort_misdrijf,Perioden,Regio's,Provincie,Aantal_misdrijven,Misdrijven_relatief(%),Aantal_misdrijven_genormaliseerd,Aantal_misdrijven_klasse
0,"Misdrijven, totaal",2013,Aa en Hunze,Drenthe,785.0,100.0,0.007722577471716675,Hoog
1,"Misdrijven, totaal",2014,Aa en Hunze,Drenthe,680.0,100.0,0.006689621249385145,Hoog
2,"Misdrijven, totaal",2015,Aa en Hunze,Drenthe,645.0,100.0,0.006345302508607969,Hoog
3,"Misdrijven, totaal",2016,Aa en Hunze,Drenthe,620.0,100.0,0.006099360550909986,Hoog
4,"Misdrijven, totaal",2017,Aa en Hunze,Drenthe,550.0,100.0,0.0054107230693556324,Hoog
5,1 Vermogensmisdrijven,2013,Aa en Hunze,Drenthe,510.0,65.0,0.005017215937038859,Hoog
6,1 Vermogensmisdrijven,2014,Aa en Hunze,Drenthe,360.0,53.0,0.0035415641908509593,Hoog
7,1 Vermogensmisdrijven,2015,Aa en Hunze,Drenthe,395.0,61.0,0.003885882931628136,Hoog
8,1 Vermogensmisdrijven,2016,Aa en Hunze,Drenthe,330.0,53.0,0.003246433841613379,Hoog
9,1 Vermogensmisdrijven,2017,Aa en Hunze,Drenthe,285.0,52.0,0.0028037383177570096,Midden
10,"2 Vernielingen, misdr.openb.orde/gezag",2013,Aa en Hunze,Drenthe,105.0,13.0,0.0010329562223315297,Midden
11,"2 Vernielingen, misdr.openb.orde/gezag",2014,Aa en Hunze,Drenthe,135.0,20.0,0.0013280865715691098,Midden
12,"2 Vernielingen, misdr.openb.orde/gezag",2015,Aa en Hunze,Drenthe,85.0,13.0,0.0008362026561731431,Midden
13,"2 Vernielingen, misdr.openb.orde/gezag",2016,Aa en Hunze,Drenthe,115.0,19.0,0.001131333005410723,Midden
14,"2 Vernielingen, misdr.openb.orde/gezag",2017,Aa en Hunze,Drenthe,80.0,14.0,0.0007870142646335466,Midden
15,3 Gewelds- en seksuele misdrijven,2013,Aa en Hunze,Drenthe,70.0,9.0,0.0006886374815543532,Midden
16,3 Gewelds- en seksuele misdrijven,2014,Aa en Hunze,Drenthe,80.0,11.0,0.0007870142646335466,Midden
17,3 Gewelds- en seksuele misdrijven,2015,Aa en Hunze,Drenthe,65.0,10.0,0.0006394490900147565,Midden
18,3 Gewelds- en seksuele misdrijven,2016,Aa en Hunze,Drenthe,75.0,12.0,0.0007378258730939499,Midden
19,3 Gewelds- en seksuele misdrijven,2017,Aa en Hunze,Drenthe,60.0,11.0,0.0005902606984751599,Midden
20,4 Misdrijven WvSr (overig),2013,Aa en Hunze,Drenthe,10.0,1.0,9.837678307919332e-05,Laag
21,4 Misdrijven WvSr (overig),2014,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
22,4 Misdrijven WvSr (overig),2015,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
23,4 Misdrijven WvSr (overig),2016,Aa en Hunze,Drenthe,10.0,1.0,9.837678307919332e-05,Laag
24,4 Misdrijven WvSr (overig),2017,Aa en Hunze,Drenthe,0.0,0.0,0.0,Laag
25,5 Verkeersmisdrijven,2013,Aa en Hunze,Drenthe,80.0,10.0,0.0007870142646335466,Midden
26,5 Verkeersmisdrijven,2014,Aa en Hunze,Drenthe,90.0,13.0,0.0008853910477127398,Midden
27,5 Verkeersmisdrijven,2015,Aa en Hunze,Drenthe,85.0,13.0,0.0008362026561731431,Midden
28,5 Verkeersmisdrijven,2016,Aa en Hunze,Drenthe,85.0,14.0,0.0008362026561731431,Midden
29,5 Verkeersmisdrijven,2017,Aa en Hunze,Drenthe,110.0,20.0,0.0010821446138711264,Midden
30,6 Drugsmisdrijven,2013,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
31,6 Drugsmisdrijven,2014,Aa en Hunze,Drenthe,5.0,0.0,4.918839153959666e-05,Laag
32,6 Drugsmisdrijven,2015,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
33,6 Drugsmisdrijven,2016,Aa en Hunze,Drenthe,0.0,0.0,0.0,Laag
34,6 Drugsmisdrijven,2017,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
35,7 (Vuur)wapenmisdrijven,2013,Aa en Hunze,Drenthe,0.0,0.0,0.0,Laag
36,7 (Vuur)wapenmisdrijven,2014,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
37,7 (Vuur)wapenmisdrijven,2015,Aa en Hunze,Drenthe,0.0,0.0,0.0,Laag
38,7 (Vuur)wapenmisdrijven,2016,Aa en Hunze,Drenthe,0.0,0.0,0.0,Laag
39,7 (Vuur)wapenmisdrijven,2017,Aa en Hunze,Drenthe,0.0,0.0,0.0,Laag
40,9 Misdrijven overige wetten,2013,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
41,9 Misdrijven overige wetten,2014,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
42,9 Misdrijven overige wetten,2015,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
43,9 Misdrijven overige wetten,2016,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
44,9 Misdrijven overige wetten,2017,Aa en Hunze,Drenthe,5.0,1.0,4.918839153959666e-05,Laag
45,"Misdrijven, totaal",2013,Aalburg,Noord-Brabant,435.0,100.0,0.004279390063944909,Hoog
46,"Misdrijven, totaal",2014,Aalburg,Noord-Brabant,425.0,100.0,0.004181013280865716,Hoog
47,"Misdrijven, totaal",2015,Aalburg,Noord-Brabant,385.0,100.0,0.0037875061485489426,Hoog
48,"Misdrijven, totaal",2016,Aalburg,Noord-Brabant,340.0,100.0,0.0033448106246925726,Hoog
49,"Misdrijven, totaal",2017,Aalburg,Noord-Brabant,275.0,100.0,0.0027053615346778162,Midden
50,1 Vermogensmisdrijven,2013,Aalburg,Noord-Brabant,250.0,58.0,0.002459419576979833,Midden
51,1 Vermogensmisdrijven,2014,Aalburg,Noord-Brabant,250.0,59.0,0.002459419576979833,Midden
52,1 Vermogensmisdrijven,2015,Aalburg,Noord-Brabant,240.0,63.0,0.0023610427939006395,Midden
53,1 Vermogensmisdrijven,2016,Aalburg,Noord-Brabant,195.0,58.0,0.0019183472700442696,Midden
54,1 Vermogensmisdrijven,2017,Aalburg,Noord-Brabant,135.0,49.0,0.0013280865715691098,Midden
55,"2 Vernielingen, misdr.openb.orde/gezag",2013,Aalburg,Noord-Brabant,70.0,16.0,0.0006886374815543532,Midden
56,"2 Vernielingen, misdr.openb.orde/gezag",2014,Aalburg,Noord-Brabant,50.0,11.0,0.0004918839153959665,Midden
57,"2 Vernielingen, misdr.openb.orde/gezag",2015,Aalburg,Noord-Brabant,45.0,11.0,0.0004426955238563699,Midden
58,"2 Vernielingen, misdr.openb.orde/gezag",2016,Aalburg,Noord-Brabant,40.0,12.0,0.0003935071323167733,Midden
59,"2 Vernielingen, misdr.openb.orde/gezag",2017,Aalburg,Noord-Brabant,30.0,11.0,0.00029513034923757994,Midden
60,3 Gewelds- en seksuele misdrijven,2013,Aalburg,Noord-Brabant,35.0,9.0,0.0003443187407771766,Midden
61,3 Gewelds- en seksuele misdrijven,2014,Aalburg,Noord-Brabant,45.0,10.0,0.0004426955238563699,Midden
62,3 Gewelds- en seksuele misdrijven,2015,Aalburg,Noord-Brabant,30.0,8.0,0.00029513034923757994,Midden
63,3 Gewelds- en seksuele misdrijven,2016,Aalburg,Noord-Brabant,40.0,12.0,0.0003935071323167733,Midden
64,3 Gewelds- en seksuele misdrijven,2017,Aalburg,Noord-Brabant,25.0,10.0,0.00024594195769798326,Midden
65,4 Misdrijven WvSr (overig),2013,Aalburg,Noord-Brabant,5.0,1.0,4.918839153959666e-05,Laag
66,4 Misdrijven WvSr (overig),2014,Aalburg,Noord-Brabant,5.0,2.0,4.918839153959666e-05,Laag
67,4 Misdrijven WvSr (overig),2015,Aalburg,Noord-Brabant,5.0,1.0,4.918839153959666e-05,Laag
68,4 Misdrijven WvSr (overig),2016,Aalburg,Noord-Brabant,5.0,1.0,4.918839153959666e-05,Laag
69,4 Misdrijven WvSr (overig),2017,Aalburg,Noord-Brabant,5.0,3.0,4.918839153959666e-05,Laag
70,5 Verkeersmisdrijven,2013,Aalburg,Noord-Brabant,55.0,12.0,0.0005410723069355632,Midden
71,5 Verkeersmisdrijven,2014,Aalburg,Noord-Brabant,55.0,13.0,0.0005410723069355632,Midden
72,5 Verkeersmisdrijven,2015,Aalburg,Noord-Brabant,55.0,14.0,0.0005410723069355632,Midden
73,5 Verkeersmisdrijven,2016,Aalburg,Noord-Brabant,55.0,16.0,0.0005410723069355632,Midden
74,5 Verkeersmisdrijven,2017,Aalburg,Noord-Brabant,55.0,19.0,0.0005410723069355632,Midden
75,6 Drugsmisdrijven,2013,Aalburg,Noord-Brabant,15.0,3.0,0.00014756517461878997,Midden
76,6 Drugsmisdrijven,2014,Aalburg,Noord-Brabant,10.0,2.0,9.837678307919332e-05,Laag
77,6 Drugsmisdrijven,2015,Aalburg,Noord-Brabant,10.0,2.0,9.837678307919332e-05,Laag
78,6 Drugsmisdrijven,2016,Aalburg,Noord-Brabant,5.0,1.0,4.918839153959666e-05,Laag
79,6 Drugsmisdrijven,2017,Aalburg,Noord-Brabant,15.0,5.0,0.00014756517461878997,Midden
80,7 (Vuur)wapenmisdrijven,2013,Aalburg,Noord-Brabant,5.0,1.0,4.918839153959666e-05,Laag
81,7 (Vuur)wapenmisdrijven,2014,Aalburg,Noord-Brabant,0.0,0.0,0.0,Laag
82,7 (Vuur)wapenmisdrijven,2015,Aalburg,Noord-Brabant,0.0,0.0,0.0,Laag
83,7 (Vuur)wapenmisdrijven,2016,Aalburg,Noord-Brabant,0.0,0.0,0.0,Laag
84,7 (Vuur)wapenmisdrijven,2017,Aalburg,Noord-Brabant,5.0,1.0,4.918839153959666e-05,Laag
85,9 Misdrijven overige wetten,2013,Aalburg,Noord-Brabant,0.0,0.0,0.0,Laag
86,9 Misdrijven overige wetten,2014,Aalburg,Noord-Brabant,5.0,2.0,4.918839153959666e-05,Laag
87,9 Misdrijven overige wetten,2015,Aalburg,Noord-Brabant,0.0,0.0,0.0,Laag
88,9 Misdrijven overige wetten,2016,Aalburg,Noord-Brabant,0.0,0.0,0.0,Laag
89,9 Misdrijven overige wetten,2017,Aalburg,Noord-Brabant,5.0,1.0,4.918839153959666e-05,Laag
90,"Misdrijven, totaal",2013,Aalsmeer,Noord-Holland,1280.0,100.0,0.012592228234136745,Hoog
91,"Misdrijven, totaal",2014,Aalsmeer,Noord-Holland,1210.0,100.0,0.01190359075258239,Hoog
92,"Misdrijven, totaal",2015,Aalsmeer,Noord-Holland,1100.0,100.0,0.010821446138711265,Hoog
93,"Misdrijven, totaal",2016,Aalsmeer,Noord-Holland,1195.0,100.0,0.0117560255779636,Hoog
94,"Misdrijven, totaal",2017,Aalsmeer,Noord-Holland,1215.0,100.0,0.011952779144121987,Hoog
95,1 Vermogensmisdrijven,2013,Aalsmeer,Noord-Holland,805.0,63.0,0.007919331037875062,Hoog
96,1 Vermogensmisdrijven,2014,Aalsmeer,Noord-Holland,645.0,53.0,0.006345302508607969,Hoog
97,1 Vermogensmisdrijven,2015,Aalsmeer,Noord-Holland,625.0,57.0,0.006148548942449582,Hoog
