"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)";"Geregistreerde misdrijven/Geregistreerde misdrijven, relatief (% van totaal geregistreerde misdrijven)";"Geregistreerde misdrijven/Geregistreerde misdrijven per 1000 inw.  (per 1 000 inwoners)"
"Misdrijven, totaal";"2013";"Aa en Hunze";785;100;30,8
"Misdrijven, totaal";"2014";"Aa en Hunze";680;100;26,9
"Misdrijven, totaal";"2015";"Aa en Hunze";645;100;25,6
"Misdrijven, totaal";"2016";"Aa en Hunze";620;100;24,6
"Misdrijven, totaal";"2017";"Aa en Hunze";550;100;21,7
"Misdrijven, totaal";"2013";"Aalburg";435;100;34
"Misdrijven, totaal";"2014";"Aalburg";425;100;32,9
"Misdrijven, totaal";"2015";"Aalburg";385;100;29,6
"Misdrijven, totaal";"2016";"Aalburg";340;100;26
"Misdrijven, totaal";"2017";"Aalburg";275;100;21
"Misdrijven, totaal";"2013";"Aalsmeer";1280;100;41,8
"Misdrijven, totaal";"2014";"Aalsmeer";1210;100;39,4
"Misdrijven, totaal";"2015";"Aalsmeer";1100;100;35,4
"Misdrijven, totaal";"2016";"Aalsmeer";1195;100;38,2
"Misdrijven, totaal";"2017";"Aalsmeer";1215;100;38,8
"Misdrijven, totaal";"2013";"Aalten";685;100;25,3
"Misdrijven, totaal";"2014";"Aalten";685;100;25,4
"Misdrijven, totaal";"2015";"Aalten";615;100;22,9
"Misdrijven, totaal";"2016";"Aalten";635;100;23,6
"Misdrijven, totaal";"2017";"Aalten";530;100;19,6
"Misdrijven, totaal";"2013";"Abcoude";;;
"Misdrijven, totaal";"2014";"Abcoude";;;
"Misdrijven, totaal";"2015";"Abcoude";;;
"Misdrijven, totaal";"2016";"Abcoude";;;
"Misdrijven, totaal";"2017";"Abcoude";;;
"Misdrijven, totaal";"2013";"Achtkarspelen";725;100;25,9
"Misdrijven, totaal";"2014";"Achtkarspelen";770;100;27,4
"Misdrijven, totaal";"2015";"Achtkarspelen";735;100;26,2
"Misdrijven, totaal";"2016";"Achtkarspelen";760;100;27,1
