"Bedrijfstakken/branches SBI 2008";"Perioden";"Regio's";"Vestigingen (aantal)"
"A Landbouw, bosbouw en visserij";"2013";"Amsterdam";95
"A Landbouw, bosbouw en visserij";"2014";"Amsterdam";100
"A Landbouw, bosbouw en visserij";"2015";"Amsterdam";105
"A Landbouw, bosbouw en visserij";"2016";"Amsterdam";105
"A Landbouw, bosbouw en visserij";"2017";"Amsterdam";110
"A Landbouw, bosbouw en visserij";"2018";"Amsterdam";120
"A Landbouw, bosbouw en visserij";"2013";"Arnhem";50
"A Landbouw, bosbouw en visserij";"2014";"Arnhem";55
"A Landbouw, bosbouw en visserij";"2015";"Arnhem";50
"A Landbouw, bosbouw en visserij";"2016";"Arnhem";55
"A Landbouw, bosbouw en visserij";"2017";"Arnhem";50
"A Landbouw, bosbouw en visserij";"2018";"Arnhem";50
"A Landbouw, bosbouw en visserij";"2013";"Assen";65
"A Landbouw, bosbouw en visserij";"2014";"Assen";65
"A Landbouw, bosbouw en visserij";"2015";"Assen";65
"A Landbouw, bosbouw en visserij";"2016";"Assen";75
"A Landbouw, bosbouw en visserij";"2017";"Assen";80
"A Landbouw, bosbouw en visserij";"2018";"Assen";80
"A Landbouw, bosbouw en visserij";"2013";"Breda";220
"A Landbouw, bosbouw en visserij";"2014";"Breda";220
"A Landbouw, bosbouw en visserij";"2015";"Breda";215
"A Landbouw, bosbouw en visserij";"2016";"Breda";220
"A Landbouw, bosbouw en visserij";"2017";"Breda";225
"A Landbouw, bosbouw en visserij";"2018";"Breda";220
"A Landbouw, bosbouw en visserij";"2013";"Eindhoven";40
"A Landbouw, bosbouw en visserij";"2014";"Eindhoven";40
"A Landbouw, bosbouw en visserij";"2015";"Eindhoven";45
"A Landbouw, bosbouw en visserij";"2016";"Eindhoven";45
"A Landbouw, bosbouw en visserij";"2017";"Eindhoven";50
"A Landbouw, bosbouw en visserij";"2018";"Eindhoven";45
"A Landbouw, bosbouw en visserij";"2013";"Enschede";150
"A Landbouw, bosbouw en visserij";"2014";"Enschede";145
"A Landbouw, bosbouw en visserij";"2015";"Enschede";155
"A Landbouw, bosbouw en visserij";"2016";"Enschede";175
"A Landbouw, bosbouw en visserij";"2017";"Enschede";185
"A Landbouw, bosbouw en visserij";"2018";"Enschede";190
"A Landbouw, bosbouw en visserij";"2013";"'s-Gravenhage (gemeente)";1540
"A Landbouw, bosbouw en visserij";"2014";"'s-Gravenhage (gemeente)";1480
"A Landbouw, bosbouw en visserij";"2015";"'s-Gravenhage (gemeente)";1490
"A Landbouw, bosbouw en visserij";"2016";"'s-Gravenhage (gemeente)";1555
"A Landbouw, bosbouw en visserij";"2017";"'s-Gravenhage (gemeente)";1640
"A Landbouw, bosbouw en visserij";"2018";"'s-Gravenhage (gemeente)";1770
"A Landbouw, bosbouw en visserij";"2013";"Groningen (gemeente)";50
"A Landbouw, bosbouw en visserij";"2014";"Groningen (gemeente)";50
"A Landbouw, bosbouw en visserij";"2015";"Groningen (gemeente)";60
"A Landbouw, bosbouw en visserij";"2016";"Groningen (gemeente)";70
"A Landbouw, bosbouw en visserij";"2017";"Groningen (gemeente)";75
"A Landbouw, bosbouw en visserij";"2018";"Groningen (gemeente)";75
"A Landbouw, bosbouw en visserij";"2013";"Haarlem";20
"A Landbouw, bosbouw en visserij";"2014";"Haarlem";20
"A Landbouw, bosbouw en visserij";"2015";"Haarlem";20
"A Landbouw, bosbouw en visserij";"2016";"Haarlem";25
"A Landbouw, bosbouw en visserij";"2017";"Haarlem";25
"A Landbouw, bosbouw en visserij";"2018";"Haarlem";25
"A Landbouw, bosbouw en visserij";"2013";"'s-Hertogenbosch";95
"A Landbouw, bosbouw en visserij";"2014";"'s-Hertogenbosch";95
"A Landbouw, bosbouw en visserij";"2015";"'s-Hertogenbosch";185
"A Landbouw, bosbouw en visserij";"2016";"'s-Hertogenbosch";190
"A Landbouw, bosbouw en visserij";"2017";"'s-Hertogenbosch";195
"A Landbouw, bosbouw en visserij";"2018";"'s-Hertogenbosch";200
"A Landbouw, bosbouw en visserij";"2013";"Leeuwarden";60
"A Landbouw, bosbouw en visserij";"2014";"Leeuwarden";165
"A Landbouw, bosbouw en visserij";"2015";"Leeuwarden";175
"A Landbouw, bosbouw en visserij";"2016";"Leeuwarden";175
"A Landbouw, bosbouw en visserij";"2017";"Leeuwarden";180
"A Landbouw, bosbouw en visserij";"2018";"Leeuwarden";340
"A Landbouw, bosbouw en visserij";"2013";"Leiden";15
"A Landbouw, bosbouw en visserij";"2014";"Leiden";15
"A Landbouw, bosbouw en visserij";"2015";"Leiden";15
